noise_model,regime,noise_sigma,accuracy,n_used,n_failed
heteroscedastic,short,0.0,1.0,1500,0
heteroscedastic,short,0.005,1.0,1500,0
heteroscedastic,short,0.01,0.994,1500,0
heteroscedastic,short,0.02,0.9546666666666667,1500,0
heteroscedastic,short,0.04,0.8553333333333333,1500,0
heteroscedastic,short,0.08,0.6346666666666667,1500,0
heteroscedastic,short,0.16,0.4053333333333333,1500,0
heteroscedastic,medium,0.0,1.0,1500,0
heteroscedastic,medium,0.005,1.0,1500,0
heteroscedastic,medium,0.01,0.9993333333333333,1500,0
heteroscedastic,medium,0.02,0.9773333333333334,1500,0
heteroscedastic,medium,0.04,0.8593333333333333,1500,0
heteroscedastic,medium,0.08,0.68,1500,0
heteroscedastic,medium,0.16,0.394,1500,0
heteroscedastic,long,0.0,1.0,1500,0
heteroscedastic,long,0.005,1.0,1500,0
heteroscedastic,long,0.01,0.998,1500,0
heteroscedastic,long,0.02,0.966,1500,0
heteroscedastic,long,0.04,0.8646666666666667,1500,0
heteroscedastic,long,0.08,0.6193333333333333,1500,0
heteroscedastic,long,0.16,0.35,1500,0
gaussian,short,0.0,1.0,1500,0
gaussian,short,0.005,1.0,1500,0
gaussian,short,0.01,0.996,1500,0
gaussian,short,0.02,0.9586666666666667,1500,0
gaussian,short,0.04,0.8293333333333334,1500,0
gaussian,short,0.08,0.618,1500,0
gaussian,short,0.16,0.35733333333333334,1500,0
gaussian,medium,0.0,1.0,1500,0
gaussian,medium,0.005,1.0,1500,0
gaussian,medium,0.01,0.9966666666666667,1500,0
gaussian,medium,0.02,0.956,1500,0
gaussian,medium,0.04,0.8093333333333333,1500,0
gaussian,medium,0.08,0.506,1500,0
gaussian,medium,0.16,0.31866666666666665,1500,0
gaussian,long,0.0,1.0,1500,0
gaussian,long,0.005,0.9993333333333333,1500,0
gaussian,long,0.01,0.9613333333333334,1500,0
gaussian,long,0.02,0.914,1500,0
gaussian,long,0.04,0.7413333333333333,1500,0
gaussian,long,0.08,0.458,1500,0
gaussian,long,0.16,0.288,1500,0
